"geoid","income_recode","size_recode","ipf"
"11001980000",1,1,0
"11001980000",2,1,0
"11001980000",3,1,0
"11001980000",4,1,0
"11001980000",5,1,0
"11001980000",6,1,0
"11001980000",7,1,0
"11001980000",8,1,0
"11001980000",9,1,0
"11001980000",1,2,0
"11001980000",2,2,0
"11001980000",3,2,0
"11001980000",4,2,0
"11001980000",5,2,0
"11001980000",6,2,0
"11001980000",7,2,0
"11001980000",8,2,5
"11001980000",9,2,0
"11001980000",1,3,0
"11001980000",2,3,0
"11001980000",3,3,0
"11001980000",4,3,0
"11001980000",5,3,0
"11001980000",6,3,0
"11001980000",7,3,0
"11001980000",8,3,0
"11001980000",9,3,0
"11001980000",1,4,0
"11001980000",2,4,0
"11001980000",3,4,0
"11001980000",4,4,0
"11001980000",5,4,0
"11001980000",6,4,0
"11001980000",7,4,0
"11001980000",8,4,0
"11001980000",9,4,0
"11001980000",1,5,0
"11001980000",2,5,0
"11001980000",3,5,0
"11001980000",4,5,0
"11001980000",5,5,0
"11001980000",6,5,0
"11001980000",7,5,0
"11001980000",8,5,0
"11001980000",9,5,0
"11001011100",1,1,196
"11001011100",2,1,24
"11001011100",3,1,19
"11001011100",4,1,9
"11001011100",5,1,96
"11001011100",6,1,107
"11001011100",7,1,215
"11001011100",8,1,52
"11001011100",9,1,218
"11001011100",1,2,116
"11001011100",2,2,7
"11001011100",3,2,44
"11001011100",4,2,48
"11001011100",5,2,23
"11001011100",6,2,36
"11001011100",7,2,50
"11001011100",8,2,27
"11001011100",9,2,31
"11001011100",1,3,68
"11001011100",2,3,2
"11001011100",3,3,19
"11001011100",4,3,27
"11001011100",5,3,14
"11001011100",6,3,18
"11001011100",7,3,27
"11001011100",8,3,8
"11001011100",9,3,36
"11001011100",1,4,119
"11001011100",2,4,4
"11001011100",3,4,13
"11001011100",4,4,27
"11001011100",5,4,65
"11001011100",6,4,40
"11001011100",7,4,38
"11001011100",8,4,5
"11001011100",9,4,23
"11001011100",1,5,15
"11001011100",2,5,4
"11001011100",3,5,5
"11001011100",4,5,11
"11001011100",5,5,1
"11001011100",6,5,10
"11001011100",7,5,9
"11001011100",8,5,2
"11001011100",9,5,8
"11001011002",1,1,56
"11001011002",2,1,19
"11001011002",3,1,11
"11001011002",4,1,7
"11001011002",5,1,128
"11001011002",6,1,98
"11001011002",7,1,148
"11001011002",8,1,83
"11001011002",9,1,215
"11001011002",1,2,43
"11001011002",2,2,6
"11001011002",3,2,12
"11001011002",4,2,18
"11001011002",5,2,56
"11001011002",6,2,28
"11001011002",7,2,30
"11001011002",8,2,27
"11001011002",9,2,41
"11001011002",1,3,6
"11001011002",2,3,2
"11001011002",3,3,3
"11001011002",4,3,5
"11001011002",5,3,1
"11001011002",6,3,11
"11001011002",7,3,7
"11001011002",8,3,3
"11001011002",9,3,16
"11001011002",1,4,0
"11001011002",2,4,0
"11001011002",3,4,0
"11001011002",4,4,0
"11001011002",5,4,0
"11001011002",6,4,0
"11001011002",7,4,0
"11001011002",8,4,0
"11001011002",9,4,0
"11001011002",1,5,0
"11001011002",2,5,0
"11001011002",3,5,0
"11001011002",4,5,0
"11001011002",5,5,0
"11001011002",6,5,0
"11001011002",7,5,0
"11001011002",8,5,0
"11001011002",9,5,0
"11001011001",1,1,33
"11001011001",2,1,0
"11001011001",3,1,35
"11001011001",4,1,17
"11001011001",5,1,93
"11001011001",6,1,56
"11001011001",7,1,212
"11001011001",8,1,144
"11001011001",9,1,127
"11001011001",1,2,26
"11001011001",2,2,0
"11001011001",3,2,46
"11001011001",4,2,43
"11001011001",5,2,136
"11001011001",6,2,21
"11001011001",7,2,101
"11001011001",8,2,78
"11001011001",9,2,34
"11001011001",1,3,4
"11001011001",2,3,0
"11001011001",3,3,12
"11001011001",4,3,11
"11001011001",5,3,2
"11001011001",6,3,15
"11001011001",7,3,162
"11001011001",8,3,14
"11001011001",9,3,23
"11001011001",1,4,1
"11001011001",2,4,0
"11001011001",3,4,2
"11001011001",4,4,4
"11001011001",5,4,3
"11001011001",6,4,1
"11001011001",7,4,1
"11001011001",8,4,1
"11001011001",9,4,1
"11001011001",1,5,0
"11001011001",2,5,0
"11001011001",3,5,0
"11001011001",4,5,0
"11001011001",5,5,0
"11001011001",6,5,0
"11001011001",7,5,0
"11001011001",8,5,0
"11001011001",9,5,0
"11001010900",1,1,116
"11001010900",2,1,111
"11001010900",3,1,29
"11001010900",4,1,66
"11001010900",5,1,147
"11001010900",6,1,40
"11001010900",7,1,70
"11001010900",8,1,21
"11001010900",9,1,8
"11001010900",1,2,67
"11001010900",2,2,27
"11001010900",3,2,20
"11001010900",4,2,33
"11001010900",5,2,50
"11001010900",6,2,22
"11001010900",7,2,47
"11001010900",8,2,15
"11001010900",9,2,2
"11001010900",1,3,48
"11001010900",2,3,15
"11001010900",3,3,20
"11001010900",4,3,41
"11001010900",5,3,18
"11001010900",6,3,12
"11001010900",7,3,19
"11001010900",8,3,8
"11001010900",9,3,2
"11001010900",1,4,57
"11001010900",2,4,11
"11001010900",3,4,12
"11001010900",4,4,42
"11001010900",5,4,20
"11001010900",6,4,8
"11001010900",7,4,12
"11001010900",8,4,4
"11001010900",9,4,1
"11001010900",1,5,15
"11001010900",2,5,4
"11001010900",3,5,3
"11001010900",4,5,8
"11001010900",5,5,7
"11001010900",6,5,5
"11001010900",7,5,5
"11001010900",8,5,5
"11001010900",9,5,1
"11001010800",1,1,121
"11001010800",2,1,37
"11001010800",3,1,69
"11001010800",4,1,13
"11001010800",5,1,110
"11001010800",6,1,61
"11001010800",7,1,43
"11001010800",8,1,14
"11001010800",9,1,52
"11001010800",1,2,77
"11001010800",2,2,9
"11001010800",3,2,63
"11001010800",4,2,29
"11001010800",5,2,24
"11001010800",6,2,12
"11001010800",7,2,7
"11001010800",8,2,4
"11001010800",9,2,8
"11001010800",1,3,1
"11001010800",2,3,0
"11001010800",3,3,1
"11001010800",4,3,3
"11001010800",5,3,0
"11001010800",6,3,0
"11001010800",7,3,0
"11001010800",8,3,0
"11001010800",9,3,0
"11001010800",1,4,1
"11001010800",2,4,0
"11001010800",3,4,1
"11001010800",4,4,3
"11001010800",5,4,2
"11001010800",6,4,1
"11001010800",7,4,0
"11001010800",8,4,0
"11001010800",9,4,0
"11001010800",1,5,0
"11001010800",2,5,0
"11001010800",3,5,0
"11001010800",4,5,0
"11001010800",5,5,0
"11001010800",6,5,0
"11001010800",7,5,0
"11001010800",8,5,0
"11001010800",9,5,0
"11001010700",1,1,66
"11001010700",2,1,3
"11001010700",3,1,25
"11001010700",4,1,26
"11001010700",5,1,127
"11001010700",6,1,183
"11001010700",7,1,114
"11001010700",8,1,87
"11001010700",9,1,276
"11001010700",1,2,44
"11001010700",2,2,1
"11001010700",3,2,25
"11001010700",4,2,58
"11001010700",5,2,24
"11001010700",6,2,24
"11001010700",7,2,17
"11001010700",8,2,23
"11001010700",9,2,28
"11001010700",1,3,4
"11001010700",2,3,0
"11001010700",3,3,4
"11001010700",4,3,9
"11001010700",5,3,1
"11001010700",6,3,2
"11001010700",7,3,2
"11001010700",8,3,1
"11001010700",9,3,3
"11001010700",1,4,1
"11001010700",2,4,0
"11001010700",3,4,2
"11001010700",4,4,7
"11001010700",5,4,9
"11001010700",6,4,2
"11001010700",7,4,1
"11001010700",8,4,2
"11001010700",9,4,1
"11001010700",1,5,0
"11001010700",2,5,0
"11001010700",3,5,0
"11001010700",4,5,0
"11001010700",5,5,0
"11001010700",6,5,0
"11001010700",7,5,0
"11001010700",8,5,0
"11001010700",9,5,0
"11001010603",1,1,33
"11001010603",2,1,19
"11001010603",3,1,24
"11001010603",4,1,40
"11001010603",5,1,93
"11001010603",6,1,114
"11001010603",7,1,269
"11001010603",8,1,95
"11001010603",9,1,157
"11001010603",1,2,26
"11001010603",2,2,7
"11001010603",3,2,30
"11001010603",4,2,120
"11001010603",5,2,122
"11001010603",6,2,110
"11001010603",7,2,198
"11001010603",8,2,41
"11001010603",9,2,51
"11001010603",1,3,3
"11001010603",2,3,2
"11001010603",3,3,6
"11001010603",4,3,24
"11001010603",5,3,2
"11001010603",6,3,10
"11001010603",7,3,10
"11001010603",8,3,3
"11001010603",9,3,9
"11001010603",1,4,0
"11001010603",2,4,0
"11001010603",3,4,0
"11001010603",4,4,0
"11001010603",5,4,0
"11001010603",6,4,0
"11001010603",7,4,0
"11001010603",8,4,0
"11001010603",9,4,0
"11001010603",1,5,0
"11001010603",2,5,0
"11001010603",3,5,0
"11001010603",4,5,0
"11001010603",5,5,0
"11001010603",6,5,0
"11001010603",7,5,0
"11001010603",8,5,0
"11001010603",9,5,0
"11001010602",1,1,83
"11001010602",2,1,56
"11001010602",3,1,38
"11001010602",4,1,11
"11001010602",5,1,85
"11001010602",6,1,91
"11001010602",7,1,203
"11001010602",8,1,223
"11001010602",9,1,249
"11001010602",1,2,77
"11001010602",2,2,36
"11001010602",3,2,51
"11001010602",4,2,29
"11001010602",5,2,116
"11001010602",6,2,64
"11001010602",7,2,99
"11001010602",8,2,242
"11001010602",9,2,290
"11001010602",1,3,11
"11001010602",2,3,9
"11001010602",3,3,12
"11001010602",4,3,7
"11001010602",5,3,9
"11001010602",6,3,25
"11001010602",7,3,21
"11001010602",8,3,25
"11001010602",9,3,110
"11001010602",1,4,2
"11001010602",2,4,4
"11001010602",3,4,3
"11001010602",4,4,4
"11001010602",5,4,70
"11001010602",6,4,10
"11001010602",7,4,5
"11001010602",8,4,19
"11001010602",9,4,48
"11001010602",1,5,2
"11001010602",2,5,3
"11001010602",3,5,2
"11001010602",4,5,2
"11001010602",5,5,11
"11001010602",6,5,1
"11001010602",7,5,1
"11001010602",8,5,17
"11001010602",9,5,134
"11001010601",1,1,73
"11001010601",2,1,43
"11001010601",3,1,15
"11001010601",4,1,6
"11001010601",5,1,32
"11001010601",6,1,85
"11001010601",7,1,175
"11001010601",8,1,59
"11001010601",9,1,81
"11001010601",1,2,73
"11001010601",2,2,31
"11001010601",3,2,18
"11001010601",4,2,16
"11001010601",5,2,17
"11001010601",6,2,168
"11001010601",7,2,143
"11001010601",8,2,25
"11001010601",9,2,22
"11001010601",1,3,9
"11001010601",2,3,5
"11001010601",3,3,4
"11001010601",4,3,4
"11001010601",5,3,1
"11001010601",6,3,28
"11001010601",7,3,17
"11001010601",8,3,3
"11001010601",9,3,8
"11001010601",1,4,2
"11001010601",2,4,1
"11001010601",3,4,1
"11001010601",4,4,2
"11001010601",5,4,7
"11001010601",6,4,3
"11001010601",7,4,1
"11001010601",8,4,2
"11001010601",9,4,1
"11001010601",1,5,0
"11001010601",2,5,0
"11001010601",3,5,0
"11001010601",4,5,0
"11001010601",5,5,0
"11001010601",6,5,0
"11001010601",7,5,0
"11001010601",8,5,0
"11001010601",9,5,0
"11001010500",1,1,135
"11001010500",2,1,58
"11001010500",3,1,15
"11001010500",4,1,43
"11001010500",5,1,148
"11001010500",6,1,174
"11001010500",7,1,310
"11001010500",8,1,209
"11001010500",9,1,263
"11001010500",1,2,119
"11001010500",2,2,24
"11001010500",3,2,17
"11001010500",4,2,116
"11001010500",5,2,134
"11001010500",6,2,106
"11001010500",7,2,106
"11001010500",8,2,96
"11001010500",9,2,76
"11001010500",1,3,16
"11001010500",2,3,6
"11001010500",3,3,4
"11001010500",4,3,30
"11001010500",5,3,12
"11001010500",6,3,43
"11001010500",7,3,24
"11001010500",8,3,10
"11001010500",9,3,28
"11001010500",1,4,2
"11001010500",2,4,1
"11001010500",3,4,1
"11001010500",4,4,10
"11001010500",5,4,7
"11001010500",6,4,2
"11001010500",7,4,1
"11001010500",8,4,2
"11001010500",9,4,1
"11001010500",1,5,4
"11001010500",2,5,2
"11001010500",3,5,1
"11001010500",4,5,9
"11001010500",5,5,15
"11001010500",6,5,3
"11001010500",7,5,1
"11001010500",8,5,5
"11001010500",9,5,14
"11001010400",1,1,136
"11001010400",2,1,107
"11001010400",3,1,50
"11001010400",4,1,115
"11001010400",5,1,229
"11001010400",6,1,302
"11001010400",7,1,39
"11001010400",8,1,153
"11001010400",9,1,270
"11001010400",1,2,78
"11001010400",2,2,27
"11001010400",3,2,29
"11001010400",4,2,43
"11001010400",5,2,67
"11001010400",6,2,83
"11001010400",7,2,30
"11001010400",8,2,63
"11001010400",9,2,57
"11001010400",1,3,25
"11001010400",2,3,9
"11001010400",3,3,13
"11001010400",4,3,20
"11001010400",5,3,12
"11001010400",6,3,22
"11001010400",7,3,10
"11001010400",8,3,17
"11001010400",9,3,26
"11001010400",1,4,45
"11001010400",2,4,8
"11001010400",3,4,15
"11001010400",4,4,34
"11001010400",5,4,22
"11001010400",6,4,41
"11001010400",7,4,6
"11001010400",8,4,23
"11001010400",9,4,28
"11001010400",1,5,4
"11001010400",2,5,2
"11001010400",3,5,1
"11001010400",4,5,2
"11001010400",5,5,2
"11001010400",6,5,4
"11001010400",7,5,2
"11001010400",8,5,4
"11001010400",9,5,6
"11001010300",1,1,29
"11001010300",2,1,42
"11001010300",3,1,9
"11001010300",4,1,14
"11001010300",5,1,57
"11001010300",6,1,78
"11001010300",7,1,83
"11001010300",8,1,64
"11001010300",9,1,150
"11001010300",1,2,32
"11001010300",2,2,12
"11001010300",3,2,23
"11001010300",4,2,55
"11001010300",5,2,35
"11001010300",6,2,53
"11001010300",7,2,52
"11001010300",8,2,49
"11001010300",9,2,51
"11001010300",1,3,18
"11001010300",2,3,8
"11001010300",3,3,20
"11001010300",4,3,41
"11001010300",5,3,62
"11001010300",6,3,29
"11001010300",7,3,48
"11001010300",8,3,20
"11001010300",9,3,91
"11001010300",1,4,11
"11001010300",2,4,7
"11001010300",3,4,11
"11001010300",4,4,37
"11001010300",5,4,40
"11001010300",6,4,12
"11001010300",7,4,21
"11001010300",8,4,16
"11001010300",9,4,37
"11001010300",1,5,9
"11001010300",2,5,0
"11001010300",3,5,6
"11001010300",4,5,26
"11001010300",5,5,9
"11001010300",6,5,15
"11001010300",7,5,21
"11001010300",8,5,4
"11001010300",9,5,9
"11001010202",1,1,11
"11001010202",2,1,72
"11001010202",3,1,12
"11001010202",4,1,1
"11001010202",5,1,66
"11001010202",6,1,46
"11001010202",7,1,157
"11001010202",8,1,88
"11001010202",9,1,156
"11001010202",1,2,8
"11001010202",2,2,109
"11001010202",3,2,15
"11001010202",4,2,2
"11001010202",5,2,68
"11001010202",6,2,19
"11001010202",7,2,66
"11001010202",8,2,40
"11001010202",9,2,69
"11001010202",1,3,1
"11001010202",2,3,14
"11001010202",3,3,3
"11001010202",4,3,0
"11001010202",5,3,4
"11001010202",6,3,6
"11001010202",7,3,11
"11001010202",8,3,4
"11001010202",9,3,18
"11001010202",1,4,0
"11001010202",2,4,9
"11001010202",3,4,1
"11001010202",4,4,0
"11001010202",5,4,24
"11001010202",6,4,2
"11001010202",7,4,2
"11001010202",8,4,2
"11001010202",9,4,3
"11001010202",1,5,0
"11001010202",2,5,22
"11001010202",3,5,1
"11001010202",4,5,0
"11001010202",5,5,7
"11001010202",6,5,0
"11001010202",7,5,1
"11001010202",8,5,2
"11001010202",9,5,15
"11001010201",1,1,83
"11001010201",2,1,28
"11001010201",3,1,24
"11001010201",4,1,31
"11001010201",5,1,199
"11001010201",6,1,198
"11001010201",7,1,170
